Date,Price,Market Caps,Volumes
2017-07-15 00:00:00.000,2228.72879099011,33447052810.303905,320113442.0299653
2017-07-16 00:00:00.000,2033.29108803266,31704152052.833904,463942211.44058734
2017-07-17 00:00:00.000,1927.09906562122,35890008657.39433,480771847.6159585
2017-07-18 00:00:00.000,2181.28608069932,37911881677.64932,495170862.90144104
2017-07-19 00:00:00.000,2303.88935545646,37434637985.045944,729320057.5415988
2017-07-20 00:00:00.000,2274.62136530529,45540558047.53742,577643323.797571
2017-07-21 00:00:00.000,2766.82511908244,43755767266.33141,1277986817.595834
2017-07-22 00:00:00.000,2658.07491237597,46136314314.91937,856653849.5198456
2017-07-23 00:00:00.000,2802.34788667742,44977531723.6921,631346052.4370111
2017-07-24 00:00:00.000,2731.60400741206,45308735082.91261,532874222.83885914
2017-07-25 00:00:00.000,2751.3470702262,42223997194.01208,356970178.1391705
2017-07-26 00:00:00.000,2563.74789523364,41300436593.94769,793382308.0821117
2017-07-27 00:00:00.000,2507.38968460757,43645402712.15232,583046427.0953552
2017-07-28 00:00:00.000,2649.44120113807,46111586171.418274,438390969.56700265
2017-07-29 00:00:00.000,2798.82931330334,44819837646.14303,1248796319.028303
2017-07-30 00:00:00.000,2720.10226250836,45158066501.84347,862355190.6244134
2017-07-31 00:00:00.000,2740.32359181287,47322548226.26965,373175816.24998474
2017-08-01 00:00:00.000,2871.3680152452,45126045890.85253,438125892.5058857
2017-08-02 00:00:00.000,2737.76379241919,44473195322.900276,745400937.0961412
2017-08-03 00:00:00.000,2697.8509023017,45788833023.80792,412594211.0343428
2017-08-04 00:00:00.000,2777.36799394604,46925073392.63279,339104668.1906748
2017-08-05 00:00:00.000,2845.89716230278,53382167034.14344,368080367.5107562
2017-08-06 00:00:00.000,3237.07069450803,52607099482.05991,1066264901.9573861
2017-08-07 00:00:00.000,3189.7324534615,55367416610.36144,489419318.3026005
2017-08-08 00:00:00.000,3356.70973808691,56260701200.034225,695546889.0949574
2017-08-09 00:00:00.000,3410.45008044914,54954274834.24823,803019985.1887337
2017-08-10 00:00:00.000,3330.89782529283,55570438886.95547,638922625.0771153
2017-08-11 00:00:00.000,3367.90538708821,58788973716.33661,424604065.32912636
2017-08-12 00:00:00.000,3562.58766284089,62715286393.358154,641330314.4333423
2017-08-13 00:00:00.000,3800.14062506336,66405071142.320496,988460078.2087516
2017-08-14 00:00:00.000,4023.25452207874,68927834713.06955,1549520790.332874
2017-08-15 00:00:00.000,4175.69529134641,68500212180.10542,1089626076.898878
2017-08-16 00:00:00.000,4149.30875941234,70376601817.48047,1908427436.1044514
2017-08-17 00:00:00.000,4262.5587912331,70778773053.66321,1755705435.2806149
2017-08-18 00:00:00.000,4286.91743450516,67671539511.38793,1774245121.0315044
2017-08-19 00:00:00.000,4097.68580247375,67968693045.18288,1515069151.8626456
2017-08-20 00:00:00.000,4115.21198836208,66092742688.79337,1710080500.0248759
2017-08-21 00:00:00.000,4001.22863247285,65008176478.93846,551798951.9672189
2017-08-22 00:00:00.000,3935.22993283277,66221496790.766624,712634899.3959899
2017-08-23 00:00:00.000,4008.41668521521,67231683430.31014,1402352816.7446954
2017-08-24 00:00:00.000,4069.0802390251,68859869628.5617,801748251.0347502
2017-08-25 00:00:00.000,4167.28917680219,69403950803.04054,686855777.303872
2017-08-26 00:00:00.000,4199.89203158457,68147140643.37593,689332055.0584042
2017-08-27 00:00:00.000,4123.51337132546,68038485482.57394,401970264.1835565
2017-08-28 00:00:00.000,4116.46873916326,69694649043.72203,348607397.3713809
2017-08-29 00:00:00.000,4216.24277330547,72641940495.6991,652038444.4811547
2017-08-30 00:00:00.000,4394.06343624723,75292523274.51767,864725915.097578
2017-08-31 00:00:00.000,4553.80652713686,77767841900.02457,674336659.4873832
2017-09-01 00:00:00.000,4702.93816308458,80428274476.4107,675647444.6830037
